Time,Wert,Kommentar
2022-12-01 15:12:21.168765,6.0,Kritischer Zustand (Rot)
2022-12-01 15:12:21.229723,97.0,Warnung (Gelb)
2022-12-01 15:12:21.293981,107.0,In Ordnung (Grün)
2022-12-01 15:12:21.357181,93.0,Warnung (Gelb)
2022-12-01 15:12:21.417944,102.0,In Ordnung (Grün)
2022-12-01 15:12:21.607869,93.0,Warnung (Gelb)
2022-12-01 15:12:21.668956,105.0,In Ordnung (Grün)
2022-12-01 15:12:21.793975,97.0,Warnung (Gelb)
2022-12-01 15:12:22.047326,107.0,In Ordnung (Grün)
2022-12-01 15:12:22.805782,95.0,Warnung (Gelb)
2022-12-01 15:12:23.242536,107.0,In Ordnung (Grün)
2022-12-01 15:12:23.368154,90.0,Warnung (Gelb)
2022-12-01 15:12:23.618850,104.0,In Ordnung (Grün)
2022-12-01 15:12:23.683619,94.0,Warnung (Gelb)
2022-12-01 15:12:23.809983,101.0,In Ordnung (Grün)
2022-12-01 15:12:23.934217,93.0,Warnung (Gelb)
2022-12-01 15:12:24.060683,100.0,Kritischer Zustand (Rot)
2022-12-01 15:12:24.121670,92.0,Warnung (Gelb)
2022-12-01 15:12:24.245342,101.0,In Ordnung (Grün)
2022-12-01 15:12:24.307176,92.0,Warnung (Gelb)
2022-12-01 15:12:24.495743,105.0,In Ordnung (Grün)
2022-12-01 15:12:24.809430,99.0,Warnung (Gelb)
2022-12-01 15:12:24.933232,109.0,In Ordnung (Grün)
2022-12-01 15:12:25.121808,90.0,Warnung (Gelb)
2022-12-01 15:12:25.182699,102.0,In Ordnung (Grün)
2022-12-01 15:12:25.308859,92.0,Warnung (Gelb)
2022-12-01 15:12:25.372856,107.0,In Ordnung (Grün)
2022-12-01 15:12:25.496675,93.0,Warnung (Gelb)
2022-12-01 15:12:25.681409,101.0,In Ordnung (Grün)
2022-12-01 15:12:25.744765,91.0,Warnung (Gelb)
2022-12-01 15:12:25.868168,107.0,In Ordnung (Grün)
2022-12-01 15:12:26.056671,97.0,Warnung (Gelb)
2022-12-01 15:12:26.118128,101.0,In Ordnung (Grün)
2022-12-01 15:12:26.179950,95.0,Warnung (Gelb)
2022-12-01 15:12:26.242838,107.0,In Ordnung (Grün)
2022-12-01 15:12:26.304967,93.0,Warnung (Gelb)
2022-12-01 15:12:26.429019,106.0,In Ordnung (Grün)
2022-12-01 15:12:26.614390,91.0,Warnung (Gelb)
2022-12-01 15:12:26.677591,107.0,In Ordnung (Grün)
2022-12-01 15:12:26.801136,99.0,Warnung (Gelb)
